STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y,WKT
OPEN,Browning Range Biv,Buildings,Basic Hut/bivvy,171.274289815,-42.9062709717,POINT (171.274289814585927 -42.906270971699371)
OPEN,Mistake Flat Hut,Buildings,Standard Hut,170.693602871,-43.4482862715,POINT (170.693602870698186 -43.448286271461463)
OPEN,Price Flat Hut (Historic 1949),Buildings,Basic Hut/bivvy,171.006058645,-43.1065436708,POINT (171.006058644712994 -43.106543670831876)
OPEN,Flanagans Hut,Buildings,Standard Hut,172.591154859,-41.2716131387,POINT (172.591154858898278 -41.271613138741436)
OPEN,Kiwi Mouth Hut,Buildings,Standard Hut,176.278833433,-39.3245455278,POINT (176.278833432883573 -39.324545527833422)
OPEN,Dorset Ridge Hut,Buildings,Standard Hut,175.42247038,-40.8075183175,POINT (175.422470380477478 -40.807518317475171)
OPEN,Crawford Junction Hut,Buildings,Basic Hut/bivvy,171.233619225,-42.9603461409,POINT (171.233619224933733 -42.960346140853133)
OPEN,Lake Guyon Hut,Buildings,Standard Hut,172.648587293,-42.2870892842,POINT (172.648587292773129 -42.287089284158341)
OPEN,Taurawharona Hut,Buildings,Standard Hut,177.089437193,-38.5149567727,POINT (177.089437193092152 -38.514956772745208)
OPEN,Greys Hut,Buildings,Basic Hut/bivvy,172.275627203,-41.2395239849,POINT (172.275627202882561 -41.239523984887732)
OPEN,Ngahiramai Hut,Buildings,Standard Hut,176.977711243,-38.4923392517,POINT (176.977711243120154 -38.492339251745058)
OPEN,Spence Hut,Buildings,Basic Hut/bivvy,167.878609832,-45.7054763524,POINT (167.878609832051978 -45.705476352417847)
OPEN,Camerons Hut,Buildings,Basic Hut/bivvy,171.952242163,-42.7114069074,POINT (171.952242162912995 -42.711406907394931)
OPEN,Cromel Branch Hut,Buildings,Basic Hut/bivvy,168.358940851,-45.4737870683,POINT (168.358940851384915 -45.473787068310436)
OPEN,LITTLE GLORY HUNTERS HUT,Buildings,Basic Hut/bivvy,168.153983566,-46.9742561643,POINT (168.153983566149037 -46.974256164295817)
OPEN,Pell Stream Hut,Buildings,Basic Hut/bivvy,172.338031609,-42.3249028391,POINT (172.338031609494038 -42.324902839100297)
OPEN,Upper Deception Hut,Buildings,Basic Hut/bivvy,171.616574142,-42.8837157216,POINT (171.616574142280854 -42.883715721593951)
OPEN,Kowhai Hut,Buildings,Standard Hut,173.594846135,-42.2983963996,POINT (173.594846134901275 -42.298396399615797)
OPEN,Goose Flat Hut,Buildings,Standard Hut,173.550552416,-42.1517793467,POINT (173.550552415514062 -42.151779346696202)
OPEN,Hunters Hut,Buildings,Standard Hut,173.002927948,-41.5995564887,POINT (173.002927947747708 -41.599556488660419)
OPEN,Sefton Bivvy,Buildings,Standard Hut,170.076719531,-43.6882342664,POINT (170.076719530526077 -43.688234266419222)
OPEN,Manuka Hut,Buildings,Basic Hut/bivvy,171.254595714,-43.5357093144,POINT (171.25459571429451 -43.535709314398765)
OPEN,Bush Hut,Buildings,Standard Hut,169.461936826,-44.4088135884,POINT (169.461936825504125 -44.408813588370151)
OPEN,Upper Cromel Hut,Buildings,Basic Hut/bivvy,168.327380866,-45.4457715908,POINT (168.327380865644813 -45.445771590772509)
OPEN,Forbes Hut,Buildings,Standard Hut,169.619756488,-44.0488451147,POINT (169.619756487917414 -44.048845114715029)
OPEN,Red Hut,Buildings,Standard Hut,169.833487891,-43.9990575515,POINT (169.833487891229197 -43.999057551489692)
OPEN,Freeman Burn Hut,Buildings,Standard Hut,167.380544105,-45.4405723439,POINT (167.380544105249868 -45.440572343901472)
OPEN,Bog Inn Hut,Buildings,Standard Hut,175.628788779,-38.5831662094,POINT (175.628788778794245 -38.583166209434296)
OPEN,Camp Creek Hut,Buildings,Basic Hut/bivvy,171.561311961,-42.705812323,POINT (171.561311960856443 -42.705812322954436)
OPEN,Manaohou Right Branch Hut,Buildings,Standard Hut,176.917360059,-38.4136792166,POINT (176.917360059026947 -38.413679216648525)
OPEN,Pakihi Hut,Buildings,Standard Hut,177.467101578,-38.1697845033,POINT (177.467101578061602 -38.169784503303255)
OPEN,Mid King Bivvy,Buildings,Basic Hut/bivvy,175.447699138,-40.8275762855,POINT (175.447699138308479 -40.827576285523421)
OPEN,Top Timaru Hut,Buildings,Standard Hut,169.501393979,-44.4704820938,POINT (169.501393978710524 -44.470482093834811)
